age_restriction,categories,dates,description,favorites_count,foreign_url,images,phone,place,price,subway,timetable,title
,"['amusement', 'kids', 'sights']",,"<p>Музей Темноты приглашает в пространство, погружающее вас в головокружительную глубину познания себя. Музей был создан в 2016 году для привлечения внимания людей к жизни с другим видением — существованию в темноте и исследованию того эффекта, которого мы достигаем, находясь какое-то время без света.</p>",911,https://progulka-v-temnote.ru/?utm_source=24,https://media.kudago.com/images/place/e1/60/e160c87f6198ece74f0680bab833e4fc.png,+7 495 133-98-10,,,"Автозаводская, Тульская",ежедневно 10:00–22:00,Музей Темноты
,"['amusement', 'kids', 'museums', 'sights']",,"<p>Хотите почувствовать себя волшебником, разгадать тайны фокусов легендарных иллюзионистов и самим стать частью магического перформанса? Тогда Музей Магии ждёт вас в своём уникальном, по-настоящему волшебном пространстве!</p>",16,https://magicmuseum.ru/price-msk?utm_source=kydago&amp;utm_medium=geo2&amp;utm_campaign=msk,https://media.kudago.com/images/place/0a/e8/0ae8421b305ce38252999a72ff145778.jpg,,,,Арбатская,"пн–чт, вс 10:00–21:00, пт, сб 10:00–22:00",Музей Магии на Новом Арбате
,"['coworking', 'attractions', 'sights', 'cinema']",,"<p>В креативном пространстве «Люмьер-Холл» благодаря мультимедийным выставкам оживают полотна великих мастеров, ценители кинематографа получают удовольствие от тематических кинопоказов, а на концертах и фестивалях кипит яркая, современная, полная впечатлений жизнь.</p>
",765,http://www.lumierehall.ru,https://media.kudago.com/images/place/72/fd/72fdca056b037c8f7eff5ac304d73282.jpg,+7 999 877-10-78,,,"Кропоткинская, Полянка",ежедневно 11:00–23:00,креативное пространство «Люмьер-Холл»
,"['art-centers', 'museums', 'art-space', 'sights']",,<p>Новое пространство «Внутришоу» на «Хлебозаводе №9» погружает посетителей в многообразный мир цифрового искусства. 500 м² проекций позволяют оказаться в прямом смысле внутри шоу.</p>,4,https://vnutrishow.ru/?utm_source=kudago&utm_medium=web&utm_campaign=promo,https://media.kudago.com/images/place/74/02/7402ff0d99f61a32b0db93f5264ffb91.jpg,+7 985 779-00-30,,,Дмитровская,ежедневно 11:00–21:30,Digital Art центр «Внутришоу»
,"['amusement', 'kids', 'photo-places', 'attractions', 'sights']",,"<p>PANORAMA360 находится на 89 этаже башни «Федерация-Восток» комплекса «Москва-Сити» и считается самой высокой смотровой площадкой в Европе.</p>
",691,https://pnr360.ru/?utm_source=kudago-ru&utm_medium=online&utm_term=posetiteli-saita&utm_content=afisha&utm_campaign=kudago&erid=Kra23eKWP,https://media.kudago.com/images/place/b2/13/b213db837e5ed04216832c4126685d48.jpg,+7 495 151-94-94,,,"Выставочная, Деловой центр",ежедневно 10:00–22:00,смотровая площадка PANORAMA360 в ММДЦ «Москва-Сити»
,"['amusement', 'recreation']",,"<p>Крытый картодром для детей и взрослых, где можно насладиться скоростью, устроить корпоративное соревнование и провести незабываемый праздник.</p>",125,https://lonato.ru/price/,https://media.kudago.com/images/place/0c/8f/0c8f584abbd7b11d694b0f07fd3eaa9c.jpg,+7 495 445-41-00,,,Нагатинская,ежедневно 13:00–0:00,картинг-центр Lonato Karting
,"['amusement', 'kids', 'museums', 'art-space', 'sights']",,"<p>Пространство с первых минут поражает технической сложностью и уникальным способом реализации принципа иммерсивного искусства. Здесь стираются физические границы, зрители попадают в фантастическую цифровую среду, становясь участниками динамичного сюжета.</p>",10,https://luminarx.ru/?utm_source=kudago,https://media.kudago.com/images/place/69/a6/69a6262f02924345da24b8a4414c983a.jpg,+7 495 165-10-30,,,ВДНХ,ежедневно 10:00–22:00,иммерсивное арт-пространство Luminar
,['museums'],,"<p>Возникнув в 1988 году, Центр «МАРС» стал первой частной галереей, где экспонировались произведения современного искусства. Сегодня Центр «МАРС» идёт в ногу со временем и говорит на актуальном языке мультимедийного арта.</p>
",613,http://centermars.ru/,https://media.kudago.com/images/place/00/d1/00d1a23bc86edc13c9aaa43e5599c7e3.JPG,+7 495 623-66-90,,,"Сухаревская, Трубная, Цветной бульвар",ежедневно 12:00–22:00,Центр современного искусства «МАРС»
,"['amusement', 'sights', 'other']",,<p>Лофт-центр Б69 — уникальное место для любого формата мероприятий: от мастер-классов и конференций до зажигательных вечеринок и свадеб. Ваше событие заслуживает быть особенным — сделайте его таковым с Б69!</p>,7,https://b69.ru/?utm_source=kudago_b69,https://media.kudago.com/images/place/8a/61/8a61192670a10192a9ceefb6a7ca31b2.jpg,+7 930 035-03-88,,,Бауманская,ежедневно весь день,лофт-центр Б69
,"['amusement', 'kids', 'sights', 'recreation']",,"<p>LaserLand — одни из крупнейших площадок лазертага в столице. Они оснащены передовыми технологиями, что превращает лазерные бои в киберспорт. Также здесь есть дорожки для боулинга, игровые автоматы и детский городок развлечений.</p>
",68,https://laser-land.ru/?roistat=kudago&utm_source=kudago&utm_medium=organic&utm_campaign=centr-vnezemnyh-razvlechenij-laserland,https://media.kudago.com/images/place/f5/b5/f5b5469615334f3ac1b2e352dd0de76e.jpg,+7 499 877-44-53,,,"Каховская, Севастопольская",,сеть развлекательных центров LaserLand
,"['amusement', 'anticafe', 'sights']",,"<p>Устроить вечеринку в стиле Майами-бич, день рождения на Диком Западе, состязание в головоломках на Бейкер-стрит или посиделки в общей гостиной Гриффиндора теперь проще простого. В лофт-пространстве Party Hard найдётся комната для события на любой вкус. Здесь можно веселиться по полной программе, заплатив только за аренду, или заказать праздник под ключ. </p>",54,https://hardparty.ru/?utm_source=kudago,https://media.kudago.com/images/place/65/cd/65cd48de2b1a0f8622b9aca96854ccf5.jpg,+7 495 121-23-48,,,Красные Ворота,ежедневно весь день,лофт-пространство Рarty Hard
,['amusement'],,"<p>Новый сервис предназначен для пользователей от 30 лет и помогает найти «вторую половинку» с помощью искусственного интеллекта. «Умные алгоритмы» упрощают подбор кандидатов. Возможно, именно здесь вы встретите настоящую любовь!</p>",0,https://sluchajnosty.ru,https://media.kudago.com/images/place/a9/86/a9869af8159acd1e3ce99785d087d687.jpg,,,,,,сервис знакомств «Случайности не случайны»
,"['amusement', 'kids', 'education-centers']",,"<p>«Арт-Тир» — интерактивное творческое пространство, где можно выплеснуть эмоции на холст с помощью красок в нескольких необычных и даже неожиданных техниках рисования картин в жанре современного искусства.</p>",11,https://msk.art-tir.ru/?utm_source=kudagomoscow&utm_medium=article&utm_campaign=promo,https://media.kudago.com/images/place/ba/25/ba258abd30a7f5d23517f9cde63a9683.jpg,+7 926 186-80-00,,,,ежедневно 11:00–21:00,пространство «Арт-Тир»
,"['amusement', 'museums', 'sights']",,"<p>Необычный музей приглашает освоить нейрогаджеты и узнать много интересного о работе самого сложного и загадочного органа. Гости получат ответы на вопросы о том, как мозг видит наше тело, как действует гипноз, где обитают эмоции и не только.</p>",7,https://mozg.moscow/?utm_source=kuda_go&utm_medium=kuda_go&utm_campaign=kuda_go#buy,https://media.kudago.com/images/place/f0/cf/f0cf637c8c38dd09eeeb9de6c945c8c6.jpg,+7 939 853-79-29,,,"Автозаводская, ЗИЛ, Тульская",,Интерактивный Музей Мозга
,"['amusement', 'sights', 'questroom', 'recreation']",,"<p>«Кубикулум» — это квесты в реальности на территории дизайн-завода «Флакон». Подходят как для отдельного развлечения, так и для празднования корпоратива, взрослого или детского дня рождения для компании до 30 человек.</p>
",407,http://cubiculum.ru/?utm_source=kudago&utm_medium=display&utm_campaign=kudago_place&utm_content=kudago_place-choose_quest,https://media.kudago.com/images/place/34/97/34978c9bf958bd25b8e867abca57c289.jpg,+7 495 201-25-36,,,Дмитровская,"пн–пт 12:00–0:00, сб, вс 11:00–1:00",«Кубикулум» — игра-квест
,"['amusement', 'kids', 'recreation']",,"<p>Аттракционы, интересные и детям, и взрослым, игровые зоны и зоны отдыха, тематические комнаты для проведения детских и семейных праздников — где найти такое идеальное сочетание? Подсказываем — в сети парков развлечений Joki Joya! Здесь можно весело и занимательно провести время с семьёй, встретиться с друзьями или отметить день рождения ребёнка. А для взрослых бонус — родителям и сопровождающим старше 18 лет вход свободный!</p>",185,https://joki-joya.ru/s/kudago,https://media.kudago.com/images/place/db/1c/db1ce60b4f821b6e857d4f4a60d955e2.jpg,+7 495 431-55-77,,,Пражская,ежедневно 10:00–22:00,Парки развлечений Joki Joya
,"['amusement', 'recreation']",,"<p>Стрелковый комплекс на северо-западе столицы — отличный вариант для тех, кто хочет освоить новый для себя вид спорта, а также для профессионалов. Здесь можно почувствовать себя героем любимого боевика и отточить навыки в 300-метровой галерее.</p>",5,https://762club.ru/?utm_source=kudago&erid=2VfnxwbQum2,https://media.kudago.com/images/place/88/38/8838b7b8d74cefbdf3f67663ed389ee6.jpg,+7 495 021-57-40,,,"Зорге, Октябрьское поле",ежедневно 11:00–23:00,спортивно-досуговый комплекс «Стрелковый клуб 7.62»
,"['amusement', 'recreation']",,"<p>Испытайте невероятные эмоции на картинге с управляемым заносом! Drift Karting — это уникальное развлечение для всех возрастов, сюда обязательно захочется вернуться.</p>",5,https://дрифткартинг.рф,https://media.kudago.com/images/place/61/51/615109e647e2e53c67b569b44f393f1d.jpg,+7 925 022-28-88,,,Лубянка,ежедневно 10:00–22:00,картинг-клубы Drift Karting
,"['amusement', 'kids', 'sights']",,"<p>Подвижные игры в комнате со световым полом — развлечение для всех возрастов, отличный вариант для праздника или корпоратива.</p>",6,https://msk.pixelquest.ru/?utm_source=kudago&utm_medium=banner&utm_campaign=book,https://media.kudago.com/images/place/1c/eb/1cebbe63e4beb550eb7272cbfb786ff3.jpg,+7 495 308-44-63,,,"Бауманская, Комсомольская",ежедневно 9:00–0:00,пиксельная комната «Пиксель Квест»
,"['amusement', 'salons', 'sights', 'suburb', 'recreation']",,"<p>Сёрф-центр SURF BROTHERS в Сколково — уникальное пространство с атмосферой драйва и путешествий. Здесь можно впервые встать на сёрф-доску, улучшить свои навыки или подготовиться к профессиональным соревнованиям — в любом случае вы получите невероятные эмоции и станете частью активного сообщества, влюблённого в сёрфинг и океан.</p>",1,https://skolkovo.surfbrothers.ru/?utm_source=kudago,https://media.kudago.com/images/place/5d/9b/5d9beab30b5c785935283624a75a8cff.jpg,+7 495 023-71-86,,,,ежедневно 7:00–23:00,сёрф-центр SURF BROTHERS SKOLKOVO
,"['amusement', 'kids']",,"<p>Парк развлечений по мотивам мультсериала «Фиксики» — это масштабное пространство с уникальными аттракционами, интерактивными зонами, кафе и не только. Маленькие гости парка перенесутся в сказку, где их ждут новые знания и веселье. Читателям KudaGo — скидка на билеты.</p>",2,https://fixipark.ru/?utm_source=kudago&utm_medium=banner&utm_campaign=promo#rec722460673,https://media.kudago.com/images/place/1a/98/1a9871a75bb358d49c5a1fd8391f0dd8.jpg,+7 495 183-86-43,,,Лубянка,ежедневно 10:00–22:00,парк развлечений «ФиксиПарк»
,"['amusement', 'restaurants', 'attractions', 'sights', 'rynok']",,"<p>Уникальный гастромаркет объединил в себе архитектуру старой Москвы и многовековые традиции торговли с современными тенденциями в дизайне и обслуживании. Здесь можно купить эксклюзивные товары, продукты от фермеров, а также попробовать блюда разных кухонь мира.</p>",2,https://rogozhka.ru,https://media.kudago.com/images/place/e9/42/e9420561791b0754af17566579b78087.jpg,+7 999 599-52-94,,,"Площадь Ильича, Римская",ежедневно 9:00–21:00,Рогожский рынок
,"['restaurants', 'inn', 'suburb']",,"<p>Концепция загородного клуба ARTILAND уникальна. Она объединила в себе природный ландшафт, садово-парковый дизайн и архитектурный ансамбль. Клуб расположен на берегу озера в окружении лесов и всего в 12 километрах от Москвы.</p>",81,https://www.arti-land.ru/?utm_source=KUDAGO&erid=2SDnjeVAHBw,https://media.kudago.com/images/place/c9/89/c9893f1a77abfcdadf04c73a37f9c4f3.jpg,+7 499 938-61-80,,,Новокосино,ежедневно весь день,загородный клуб ARTILAND
,['museums'],,"<p>В старинном особняке расположился музей монет разных стран и эпох. Богатая коллекция охватывает период от античности до современности, и каждый экспонат способен рассказать увлекательную историю.</p>
",37,http://coinmuseum.ru/,https://media.kudago.com/images/place/99/f1/99f1ea65761094b607a0f25bdd670e8a.jpg,+7 495 637-94-26,,,Арбатская,вт–вс 12:00–19:00,Музей Международного нумизматического клуба
,"['amusement', 'art-space', 'education-centers']",,"<p>В филиале петербургской студии ZuART опытные преподаватели с художественным образованием обучают рисованию взрослых и детей с разным уровнем подготовки. Долгосрочные курсы, трёхчасовые мастер-классы, арт-вечеринки по случаю дня рождения или девичника, корпоративные мероприятия —   здесь есть множество программ для увлечённых творчеством людей.</p>",6,http://zuart.ru/picture_msk?utm_source=kudago,https://media.kudago.com/images/place/99/6d/996de8d14daf9ccb14818fbf2a529d9f.jpg,+7 495 128-07-89,,,Цветной бульвар,ежедневно 10:00–22:00,студия рисования и живописи ZuART
,"['museums', 'cinema']",,"<p>Почти 170 000 экспонатов рассказывают славную историю отечественного кинематографа.</p>
",105,http://vk.com/cinemuseum,https://media.kudago.com/images/place/fb/88/fb88137abec09378c2455e6fe09c0349.jpg,+7 495 150-36-10,,,"Ботанический сад, ВДНХ",вт–вс 12:00–21:00,Музей кино
,"['bar', 'clubs']",,"<p>Здесь не просто можно, но и нужно танцевать на барной стойке!</p>
",234,https://vk.com/coyoteuglymsc,https://media.kudago.com/images/place/16/c5/16c562121afa4de96a0ac893245fe5e5.jpeg,+7 980 697-71-50,,,"Пушкинская, Тверская, Театральная, Чеховская","пн–чт, вс 20:00–6:00, пт, сб 19:00–6:00",Бар Coyote Ugly
,"['salons', 'sights']",,"<p>Студия художественной татуировки в центре Москвы воплощает любые фантазии в реальность. Это арт-бутик с творческой атмосферой, где работают мастера с двадцатилетним опытом.</p>",4,https://maze.tattoo/,https://media.kudago.com/images/place/e9/f2/e9f256bb41a719b908269abb980120d1.jpg,+7 495 101-19-29,,,Новокузнецкая,ежедневно 11:00–21:00,тату-салон Maze Tattoo Studio
,"['amusement', 'questroom', 'other']",,"<p>Ищете способ разнообразить досуг? Окунитесь в атмосферу телевизионных шоу и ощутите азарт командной игры, став героями интерактивного проекта «ХА-ХА ШОУ». Популярное в Санкт-Петербурге развлечение теперь доступно в Москве!</p>",36,https://hahashow.ru/msk/?erid=2SDnjeSCyD3,https://media.kudago.com/images/place/b4/8a/b48a687c45b00bb7513bfc759ec85ca8.jpg,+7 960 283-55-63,,,Бауманская,ежедневно 10:00–0:00,развлекательный проект «ХА-ХА ШОУ»
,"['restaurants', 'bar']",,"<p>В «Руки ВВерх! Баре» можно предаться ностальгии по ушедшей юности, а можно — тряхнуть стариной и зажечь на танцполе, как 20 лет назад. Здесь выступают музыканты, артисты стендапа и диджеи, проходят весёлые вечеринки, а за соседним с вами столиком вполне может оказаться основатель бара Сергей Жуков, который любит зайти сюда с друзьями. </p>",9,https://rvbar.ru/?&utm_medium=kuda_go,https://media.kudago.com/images/place/af/32/af32faa31a9bdc665e1debad9f223379.jpg,+7 499 322-42-42,,,Тверская,ежедневно 18:00–6:00,«Руки ВВерх! Бар»
,"['amusement', 'recreation']",,"<p>«Белка Парк» — это огромное пространство активных развлечений на любой вкус и возраст. Сюда можно прийти всей семьёй, и пока дети развлекаются на батутах или в VR-зоне, взрослые могут поиграть в бильярд и настольный теннис. А ещё «Белка Парк» проводит яркие шоу, квесты, мастер-классы и незабываемые дни рождения!</p>",39,https://belkapark.ru,https://media.kudago.com/images/place/43/c3/43c34c3c910fc64f527b0cea181c347d.JPG,+7 495 648-69-65,,,Молодёжная,ежедневно 10:00–21:00,семейный центр развлечений «Белка Парк»
,['theatre'],,"<p>В театре-кабаре Crave проходят высокотехнологичные шоу на стыке разных жанров — от кабаре, бурлеска и иммерсивных перфомансов до цирковых программ и стендапа.  </p>",11,,https://media.kudago.com/images/place/2c/f4/2cf4eb439a547eb8c8085aecfa700e40.jpg,+7 495 215-11-77,,,Китай-город,"чт, пт 18:00–21:30, сб 17:00–1:30",театр-кабаре Crave
,"['amusement', 'kids', 'recreation']",,"<p>В клубе Lazertag Zone можно окунуться в атмосферу постапокалипсиса, сразиться с зомби или помочь Оби-Ван Кеноби. Здесь найдутся приключения и для взрослых, и для детей.</p>",60,https://lazertag.zone/?erid=2SDnjd75Nsz,https://media.kudago.com/images/place/2f/a5/2fa5aa35bf472b4aa73bfbf48cc84891.jpg,+7 495 545-48-06,,,"Курская, Площадь Ильича, Римская","пн–пт 12:00–22:00, сб, вс 10:00–22:00",клуб Lazertag Zone
,"['amusement', 'salons', 'recreation']",,"<p>Погрузиться в невесомость, отпустить напряжение и внутреннюю суету приглашает сеть флоатинг-центров FLOTARIUM. Для гостей действует выгодная акция, также в продаже есть подарочные сертификаты.</p>",5,http://floating-club.ru?utm_source=kudago&utm_medium=msk&utm_campaign=main/?erid=2SDnjcYJ9VJ,https://media.kudago.com/images/place/e6/5d/e65d6f59ddd6c892db478df387f70f56.jpg,+7 930 035-95-52,,,,ежедневно 9:00–23:00,сеть флоатинг-центров FLOTARIUM
,"['amusement', 'bar']",,"<p>Модный бар в центре столицы известен своим эпатажем и фирменной ноткой безрассудства. Каждую ночь здесь можно окунуться в атмосферу яркой вечеринки, а любой праздник в Nebar запомнится надолго!</p>",9,https://moscow.nebar.ru/?&utm_source=kuda_go&utm_medium=site&utm_campaign=imidzh-kudago-p66-sayt,https://media.kudago.com/images/place/5a/22/5a222afa253599f3fb11e737899efb50.jpg,+7 495 260-66-60,,,"Добрынинская, Серпуховская",ежедневно 18:00–6:00,бар Nebar
,"['sights', 'stable', 'suburb', 'recreation']",,"<p>На территории Национального парка Москвы «Лосиный Остров» есть конно-спортивный клуб «Соловьиная Роща». Это место, где можно впервые сесть в седло, изучить азы конного спорта или усовершенствовать мастерство верховой езды. И, конечно же, поднять себе настроение и получить позитивные эмоции.</p>",97,https://vk.com/solhorse2013,https://media.kudago.com/images/place/d5/05/d505c2baf27f7341786df8caa2051fee.jpg,+7 929 575-56-87,,,,уточняйте на сайте или по телефону,конно-спортивный клуб «Соловьиная Роща»
,['cinema'],,"<p>Кинотеатр «Кронверк Синема» — это современный мультиплекс, расположенный в торгово-развлекательном парке «Вэйпарк».</p>
",5,https://kinoteatr.ru/raspisanie-kinoteatrov/waypark/,https://media.kudago.com/images/place/81/02/8102517e0e7febf4ef32729e6dbed4de.jpg,,,,"Планерная, Сходненская",пн–вс 10:00–24:00,кинотеатр «Кронверк Синема» в ТРЦ «Вэйпарк»
,"['salons', 'sights', 'education-centers', 'recreation']",,<p>Исправить или улучшить речь возможно в любом возрасте. Логопеды центра «Лидер» помогают выявить проблемы и работают с самыми разными нарушениями речи. Заниматься можно очно или онлайн.</p>,2,https://liderspeech.ru/,https://media.kudago.com/images/place/1d/79/1d7928d675b45aa9f656da53e70bd301.jpg,+7 925 184-54-70,,,Чистые пруды,ежедневно 8:00–23:00,центр речи «Лидер»
,"['attractions', 'sights']",,<p>Быстрые свидания — отличный способ познакомиться с интересным человеком и найти любовь. Компания FastLife в числе первых предложила этот формат общения москвичам. За время работы проекта на быстрые свидания пришли более 80 000 человек. Многие из них создали счастливые пары и поженились.</p>,39,https://fastlife.su/?utm_source=kudago&utm_medium=cpc&utm_campaign=statya&erid=2SDnjdike5X,https://media.kudago.com/images/place/79/f1/79f1b665fec090daa77c637ce9cd31da.jpg,+7 495 151-00-25,,,,,быстрые свидания FastLife
,['restaurants'],,"<p>Побалуйте себя сладкими угощениями от шеф-кондитера Mr.Ginger. Торты, десерты, кенди-бары, капкейки по индивидуальному заказу украсят любой праздничный стол, станут отличным подарком и наполнят радостью важное семейное событие. </p>",5,https://mrginger.ru/?roistat=kudago&utm_source=kudago&utm_medium=organic&utm_campaign=mrginger,https://media.kudago.com/images/place/0a/a6/0aa69a25562a143db274a8d3d718beeb.jpg,+7 495 181-08-01,,,Севастопольская,ежедневно 10:00–21:00,кондитерская Mr.Ginger
,"['salons', 'sights']",,"<p>Эта сеть парикмахерских более 10 лет специализируется исключительно на волосах. Во главу угла здесь ставят техническое мастерство специалистов, индивидуальный подход и естественную красоту. Весной действует акция на стрижку, укладку и уход!</p>",0,,https://media.kudago.com/images/place/23/37/2337288d72accaa64fc4f5e972006fea.jpg,"+7 999 444-18-39, +7 936 516-31-35",,,Улица 1905 года,ежедневно 10:00–22:00,парикмахерская «Тут стригут»
,['museums'],,"<p>Крупнейшая коллекция экспонатов, рассказывающая о развитии науки и техники в России и в мире. А также познавательные лекции и интересные активности для каждого.</p>
",145,https://vk.com/polytechmuseum,https://media.kudago.com/images/place/d3/29/d3294d024105aa05f9c7034c886223f7.jpg,+7 495 780-60-27,,,Текстильщики,вт–вс 10:00–20:00,Политехнический музей в технополисе «Москва»
,"['art-space', 'concert-hall']",,"<p>В разнообразии развлечений и досуга порой сложно сделать выбор. Как провести пятничный вечер? Сходить на концерт, поужинать в приятной атмосфере с друзьями или отправиться узнавать что-то новое. Пространство «Море Музыки» тонко соединяет в себе все эти варианты, оставляя простор для манёвров под желания и настроение. А главное, удивляет нестандартным подходом ко всему.
</p>",0,https://moremusic.moskvarium.ru/,https://media.kudago.com/images/place/ba/8e/ba8e32d2d8de021d7fb48196b0cce728.jpg,+7 499 677-77-77,,,ВДНХ,,Пространство «Море Музыки»: живые концерты в атмосфере подводного мира
,['theatre'],,"<p>Театр был создан в 1987 году, когда МХАТ СССР разделился на две труппы. Тогда художественным руководителем МХАТа имени Горького стала Татьяна Доронина, а в 2018 году театр возглавил Эдуард Бояков.</p>",11,http://www.mxat-teatr.ru/,https://media.kudago.com/images/place/74/6f/746fa2ad3f8e0a5c999ee993f168c318.jpg,"+7 495 697-87-73, +7 495 629-81-65",,,Пушкинская,касса: ежедневно 11:00–15:00 16:00–20:00,Московский художественный академический театр имени Максима Горького (МХАТ)
,['clubs'],,"<p>Одна из топовых площадок Москвы с живой, умной и креативной музыкой. Также у клуба есть филиал на Мясницкой улице — <a href=""https://kudago.com/msk/place/klub-unplugged/"">сцена Unplugged</a>. </p>",44,https://vk.com/kozlovclubfan,https://media.kudago.com/images/place/51/b8/51b8dab08057fbb52c64541947fb10a4.jpg,+7 495 792-39-59,,,Китай-город,"пн–чт 12:00–1:00, пт 12:00–6:00, сб 12:00–6:00, вс 12:00–1:00",Клуб Алексея Козлова
